"SPDC","Speed Commerce Inc","260.8848","Information Technology","NASDAQ","-0.0015"
"SPWR","SunPower Corp. - Class A","958417","Information Technology","NASDAQ","-2.0329"
"SQNS","Sequans Communications SA","289615.8","Information Technology","NYSE","-9.0996"
"SREV","ServiceSource International Inc","331943.8516","Information Technology","NASDAQ","-10.1026"
"SSNI","Silver Spring Networks Inc","619530.56","Information Technology","NYSE","-27.1382"
"SSYS","Stratasys Ltd.","1395459.89","Information Technology","NASDAQ","-16.7794"
"STRI","STR Holdings Inc","3864.1311","Information Technology","NYSE","-0.2536"
"SUNEQ","SunEdison Inc","14293.8136","Information Technology","NYSE","-0.0124"
"SYNC","Synacor Inc","128086","Information Technology","NASDAQ","-9.9994"
"SYNT","Syntel Inc","1557283.7","Information Technology","NASDAQ","-20.6305"
"SYX","Systemax Inc","616662.12","Information Technology","NYSE","-15.1083"
"TAIT","Taitron Components Inc","6559.2129","Information Technology","NASDAQ","-2.0975"
"TCCO","Technical Communications Corp","4324","Information Technology","NASDAQ","-1.5985"
"TIGR","TigerLogic Corp","619.2","Information Technology","NASDAQ","-0.078"
"TNAV","Telenav Inc","372414.4","Information Technology","NASDAQ","-8.8281"
"TNGO","Tangoe Inc","254329.95","Information Technology","NASDAQ","-58.8883"
"TRMR","Tremor Video Inc","118703.82","Information Technology","NYSE","-5.5906"
"TRUE","TrueCar Inc","1551196.18","Information Technology","NASDAQ","-35.4879"
"TRVG","Trivago","4065985.35","Information Technology","NASDAQ","-75.2726"
"TTD","Trade Desk Inc","1567979.17","Information Technology","NASDAQ","-54.6844"
"TWLO","Twilio Inc","2162908.98","Information Technology","NYSE","-40.4648"
"TWOU","2U Inc","2038300.8","Information Technology","NASDAQ","-102.3053"
"UCTT","Ultra Clean Holdings Inc","704704.4","Information Technology","NASDAQ","-39.457"
"UIS","Unisys Corp","599843.3","Information Technology","NYSE","-12.0628"
"UNXL","Uni-Pixel Inc","30035.236","Information Technology","NASDAQ","-0.6554"
"UPLD","Upland Software Inc","383840.45","Information Technology","NASDAQ","-24.2466"
"USAT","USA Technologies Inc","195610.2","Information Technology","NASDAQ","-19.8132"
"VECO","Veeco Instruments","1334753","Information Technology","NASDAQ","-10.6229"
"VIDE","Video Display Corp","5360.81","Information Technology","NASDAQ","-3.7462"
"VNET","21Vianet Group Inc","589212","Information Technology","NASDAQ","-6.048"
"VRNS","Varonis Systems Inc","955909.5","Information Technology","NASDAQ","-46.8189"
"VRNT","Verint Systems Inc","2456187.65","Information Technology","NASDAQ","-83.7275"
"WK","Workiva Inc","742286.35","Information Technology","NYSE","-15.5371"
"WPCS","WPCS International Inc","4223.52","Information Technology","NASDAQ","-1.961"
"WSTL","Westell Technologies Inc","44011.6703","Information Technology","NASDAQ","-1.9907"
"XCOMQ","Xtera Communications Inc","223.925","Information Technology","NASDAQ","-0.0045"
"XGTI","xG Technology Inc","15901.2","Information Technology","NASDAQ","-0.0388"
"XNET","Xunlei Ltd","235348.04","Information Technology","NASDAQ","-24.4921"
"XTLY","Xactly Corp","369750","Information Technology","NYSE","-20.9814"
"YELP","Yelp","2866638.24","Information Technology","NYSE","-585.2892"
"YEXT","Yext Inc","1189151.99","Information Technology","NYSE","-29.4013"
"YGE","Yingli Green Energy Holding Co Ltd","42531.84","Information Technology","NYSE","-0.1634"
"YRD","Yirendai Ltd","1447887.88","Information Technology","NYSE","9.4995"
"YUME","YuMe Inc","137117.94","Information Technology","NYSE","-18.5565"
"YY","YY","2852432.44","Information Technology","NASDAQ","12.5039"
"ZBRA","Zebra Technologies Corp","5105803.12","Information Technology","NASDAQ","-35.4917"
"ZEN","Zendesk, Inc.","2715757.2","Information Technology","NYSE","-25.8035"
"ZG","Zillow","2669211.87","Information Technology","NASDAQ","-31.4553"
"ZNGA","ZYNGA","2778249.6","Information Technology","NASDAQ","-23.4788"
