"LQDT","Liquidity Services Inc","--","-18.94","-29.47","0","98.97","1.57"
"LRAD","LRAD Corp","--","-7.83","-4.81","0","-55.75","1.48"
"LSCC","Lattice Semiconductor Corp","0.56","-12.67","-17.51","123.74","25.3","3.09"
"LTRX","Lantronix Inc","--","-4.83","-2.46","0.91","40.28","2.45"
"LUNA","Luna Innovations Inc","--","-4","-6.69","12.6","16.9","1.21"
"MARK","Remark Holdings Inc","--","-53.4","-251.59","-1465.54","-8.23","-25.91"
"MATR","Mattersight Corp","--","-49.83","-242","-259.23","-9.37","-9.33"
"MB","Mindbody Inc","--","-16.53","-21.35","15.2","-182.62","11.32"
"MCHX","Marchex Inc","--","-64.89","-45.06","0","-19.85","1.03"
"MJCO","Majesco","--","-0.76","-2","28.7","52.92","4.47"
"MLNK","ModusLink Global Solutions Inc","--","-13.35","-37.91","68.67","-2.49","1.26"
"MOBL","MobileIron Inc","--","-40.98","-93.48","0","-16.77","9.93"
"MODN","Model N Inc","--","-30.95","-41.28","0","-19.85","4.99"
"MOSY","MoSys Inc","--","-532.01","-70.91","53.82","-0.34","0.42"
"MRAM","Everspin Technologies Inc","--","-61.67","--","30.15","-3.46","4.65"
"MRIN","Marin Software Inc","--","-16.5","-17.17","3.88","8.74","0.75"
"MSDI","Monster Digital Inc","--","-152.84","--","--","-1.17","3.16"
"MTLS","Materialise NV","1.23","-2.64","-3.55","42.77","76.95","6.23"
"MTSI","M/A-Com","0.8","0.26","-21.88","126.1","25.27","7.56"
"MTWO","M2 Ngage Group Inc","--","-767.84","--","-17.32","-2.8","-0.54"
"MULE","MuleSoft Inc","--","-26.42","--","0","-95.59","-13.45"
"MVIS","MicroVision Inc","--","-111.59","-1292.5","0","-8.01","20.5"
"MX","MagnaChip Semiconductor Corp","0.19","-13.39","--","-383.53","11.52","-6.92"
"MXPT","MaxPoint Interactive Inc","--","-11.97","-34.34","--","-10.98","1.07"
"MXWL","Maxwell Technologies Inc","--","-19.55","-19.84","0.08","-16.24","1.94"
"NAME","Rightside Group Ltd","--","-54.17","-23.23","12.03","126.94","1.71"
"NCTY","The9 Ltd","--","-1204.06","--","-100.1","-1","-0.5"
"NEON","Neonode Inc","0.09","-51.81","-274.93","26.37","-15.62","18.32"
"NETE","Net Element Inc","--","-24.84","-107.49","114.37","-1.88","3.1"
"NEWR","New Relic Inc","--","-37.22","-31.54","0","-134.19","11.31"
"NLST","Netlist Inc","--","-87.76","--","-2850.28","-5.97","-149.18"
"NMRX","Numerex Corp","--","-34.43","-33.23","33.64","337.33","1.72"
"NPTN","NeoPhotonics Corp","--","-0.05","-0.09","18.26","8","1.46"
"NQ","NQ Mobile Inc","--","-41.05","-27.64","54.4","-2.55","0.9"
"NSR","Neustar Inc","-0.16","13.94","22.47","87.72","4.39","1.98"
"NTNX","Nutanix Inc","--","-37.87","--","-16.8","-13.08","27.6"
"NUAN","Nuance Communications Inc","1.99","-0.64","-1.12","125.98","12.55","2.71"
"NXES","Nexus Enterprise Solutions Inc","--","-36.62","--","-33.37","-10.37","-1.36"
"OCC","Optical Cable Corp","--","-2.75","-2.69","48.24","8.47","0.87"
"OCLR","Oclaro Inc","-4.08","2.1","33.22","40.76","10.08","2.99"
"OIIM","O2micro International Ltd","--","-5.28","-3.52","--","-30.67","0.78"
"OKTA","Okta Inc","--","-52.09","--","0","-49.9","-9.71"
"ONSM","Onstream Media Corp","--","--","-34.6","--","-47.69","-1.57"
"ONVI","Onvia Inc","--","-3.31","-19.09","--","17.11","8.92"
"P","Pandora Media, Inc.","--","-24.77","-44.99","61.75","-21.53","4.6"
"PAY","Verifone Systems Inc","0.67","-0.47","-5.65","113.79","10.95","2.59"
"PCMI","PCM Inc","0.52","0.78","17.72","108.44","8.31","2.35"
"PCTI","PCTEL Inc","0.88","-18.28","-19.25","0.2","23.52","1.71"
"PCTY","Paylocity Corp.","2.39","-1.69","-3.14","0","56.43","16.18"
"PFPT","Proofpoint Inc","2.13","-29.62","-181.25","816.21","114.91","72.17"
"PFSW","PFSweb Inc","0.44","-2.25","-16.8","148.2","11.06","3.4"
"PI","Impinj Inc","1.3","-1.49","--","12.17","207.56","6.15"
"PLPM","Planet Payment Inc","2.11","46.14","108.04","33.48","16.36","6.82"
"PRCP","Perceptron Inc","0.27","-31.99","-32.32","0.52","69","2.1"
"PRGS","Progress Software Corp","7.45","-13.75","-12.21","33.2","14.69","3.61"
"PRGX","PRGX Global Inc","3.2","0.64","-1.41","6.87","11.83","2.73"
"PRKR","ParkerVision Inc","--","-529.24","-307.98","-184.89","-2.11","-3.59"
"PRO","PROS Holdings Inc","--","-49.08","-178.71","-3688.1","-20","-222.13"
"PSDO","Presidio Inc","2.51","-0.13","--","299.22","15.96","3.77"
"PSTG","Pure Storage","--","-33.66","-42.56","0","-26.97","4.53"
"QADB","QAD Inc","--","-5.56","-12.07","12.61","38.81","4.34"
"QBAK","Qualstar Corp","--","-12.85","-22.61","--","-209.83","2.99"
"QNST","Quinstreet Inc","0.33","-6.52","-14.64","12.02","35.83","1.75"
"QTM","Quantum Corp","0.49","-15.69","--","-107.21","9.72","-2.31"
"QTWO","Q2 Holdings Inc","--","-24.2","-30.22","0","-410.57","15.39"
"QUIK","QuickLogic Corp","--","-167.66","-82","51.79","-7.08","9.58"
"QUMU","Qumu Corp","--","-35.27","-36.16","38.36","-3.7","1.34"
"QUOT","Quotient Technology Inc","0.82","-7.08","-4.99","0.02","25.6","3.1"
"RATE","Bankrate","0.81","-7.86","-4.87","42.9","14.69","1.38"
"RBCN","Rubicon Technology Inc","--","-320.32","-55.89","0","-0.64","0.4"
"REDFY","Rediff.com India Ltd","--","--","-74.62","--","-1.3","0.88"
"REFR","Research Frontiers Inc","--","-342.89","-46.7","0","-8.66","6.18"
"RELL","Richardson Electronics Ltd","--","-4.76","-4.91","0","-18.52","0.59"
"RESN","Resonant Inc","--","-5048.68","-176.16","--","-3.92","5.92"
"RFIL","RF Industries Ltd","--","-13.52","-15.47","0","-95.12","0.67"
"RMGN","RMG Networks Holding Corp","--","-12.69","-46.1","12.63","-33.88","3.93"
"RNG","RNG","2.35","-7.72","-25.72","11.55","106.79","18.28"
"RNWK","RealNetworks Inc","--","-30.34","-29.89","4.18","-7.28","1.93"
"RPD","Rapid7 Inc","--","-31.12","-72.49","0","-29.53","17.16"
"RST","Rosetta Stone Inc","--","-14.19","-123.95","-154.25","-54.28","-152.25"
"RSYS","Radisys Corp","0.32","-4.83","-26.35","88.41","19.18","2.73"
"RUBI","Rubicon Project Inc","--","-6.49","-6.48","0","3.84","0.94"
"SALE","RetailMeNot Inc","11.56","0.7","-0.45","12.85","10.93","1.17"
"SANM","Sanmina","2.13","2.9","12.91","28.73","8.66","1.61"
"SCKT","Socket Mobile Inc","--","58.43","154.92","6.92","10.53","1.59"
"SCON","Superconductor Technologies Inc","--","-8485.5","-71.05","0","-0.66","0.88"
"SCOR","Comscore Inc","0.33","-1.83","-3.48","8.39","13.14","2.23"
"SCWX","SecureWorks","--","-8.9","-6.8","0","-45.12","1.01"
"SEAC","SeaChange International Inc","--","-85.03","-52.53","0","-3.35","1.28"
"SFUN","Soufun Holdings Ltd-ADR","0.21","-18.51","-19.46","117.67","-10.2","3.02"
"SHOR","Shoretel Inc","3.33","-1.33","-5.93","0","22.21","2.27"
"SIGM","Sigma Designs Inc","--","-8.3","-11.77","0","19.61","1.65"
"SIMO","Silicon Motion Technology Corporation","0.95","19.95","31.81","5.73","11.75","3.6"
"SMIT","Schmitt Industries Inc","--","-12.97","-12.92","--","-5.78","0.68"
"SMSI","Smith Micro Software Inc","--","-51.4","-98.97","77.24","-1.09","5.55"
"SMTX","SMTC Corp","--","-0.14","-0.88","50.55","6","0.83"
"SOL","ReneSola Ltd","--","-3.73","-6.01","943.79","5.13","3.71"
"SONS","Sonus Networks Inc","1.56","-5.52","-9","0.6","27.21","1.72"
"SPDC","Speed Commerce Inc","--","--","-362.98","--","0","0"
"SPWR","SunPower Corp. - Class A","--","-18.4","-32.21","192.51","-3.15","0.95"
"SQNS","Sequans Communications SA","--","-54.38","--","271.44","-16.81","28.61"
"SREV","ServiceSource International Inc","0.37","-12.7","-21.52","106.31","29.73","2.61"
"SSNI","Silver Spring Networks Inc","0.72","-6.95","--","0","28.74","-18.88"
"SSYS","Stratasys Ltd.","1.11","-11.48","-6.47","2.29","24.41","1.15"
"STRI","STR Holdings Inc","--","-78.91","-33.4","0","-0.48","0.13"
"SUNEQ","SunEdison Inc","--","--","-468.16","--","-0.02","-0.02"
"SYNC","Synacor Inc","--","-8.43","-23.09","17.64","61.61","2.76"
"SYNT","Syntel Inc","5.97","-5.94","-8.71","-273.03","-29.5","-8.04"
"SYX","Systemax Inc","0.43","-1.94","-12.73","0","-31.17","2.28"
"TAIT","Taitron Components Inc","--","-44.99","-20.57","8.63","6.53","0.56"
"TCCO","Technical Communications Corp","--","-97.99","-39.51","--","-1.57","1.04"
"TIGR","TigerLogic Corp","--","--","-50.57","--","-0.09","0.08"
"TNAV","Telenav Inc","--","-19.26","-26.6","0","-12.96","3.21"
"TNGO","Tangoe Inc","-3.22","--","-2.38","--","10.19","1.43"
"TRMR","Tremor Video Inc","--","-12.56","-20.63","1.43","-17.64","1.44"
"TRUE","TrueCar Inc","--","-15.03","-17.61","12.84","164.79","6.72"
"TRVG","Trivago","1.74","-6.72","-11.68","0","171.92","5.92"
"TTD","Trade Desk Inc","1.08","-13.17","-252.28","15.72","35.44","8.89"
"TWLO","Twilio Inc","--","-14.9","--","0","-270.37","8.78"
"TWOU","2U Inc","--","-10.05","-10.38","0","432.83","10.96"
"UCTT","Ultra Clean Holdings Inc","2.34","--","-7.74","--","43.56","3.09"
"UIS","Unisys Corp","--","-1.69","--","-19.01","4.15","-0.35"
"UNXL","Uni-Pixel Inc","--","-717.95","-45.82","20.35","-0.93","5.27"
"UPLD","Upland Software Inc","--","-18.07","-21.43","81.22","152.25","5.99"
"USAT","USA Technologies Inc","0.54","-8.79","-24.89","25.26","53.03","4.28"
"VECO","Veeco Instruments","0.73","-36.76","-17.62","0.2","-358.81","2.25"
"VIDE","Video Display Corp","--","-52.88","-19.8","3.17","-9","0.92"
"VNET","21Vianet Group Inc","--","-17.4","-12.6","52.09","32.24","0.69"
"VRNS","Varonis Systems Inc","--","-10.77","-20.92","0","-337.34","10.18"
"VRNT","Verint Systems Inc","1.12","-2.77","-2.76","74.4","15.67","2.44"
"WK","Workiva Inc","--","-24.62","-172.16","-675.23","-25.54","-221.81"
"WPCS","WPCS International Inc","--","-19.12","--","31.59","-5.15","-32.06"
"WSTL","Westell Technologies Inc","--","-18.38","-28.56","0","-5.49","0.78"
"XCOMQ","Xtera Communications Inc","--","--","--","--","-0.01","-0.01"
"XGTI","xG Technology Inc","--","-317.95","-60.39","16.67","-0.09","0.86"
"XNET","Xunlei Ltd","--","-10.16","-3.82","0","78.8","0.93"
"XTLY","Xactly Corp","--","-17.72","-156.51","257.38","-80.86","70.61"
"YELP","Yelp","1.18","-0.65","-0.66","0","19.92","3.48"
"YEXT","Yext Inc","--","-34.73","--","-3.91","-45.03","-9.93"
"YGE","Yingli Green Energy Holding Co Ltd","--","-24.34","--","-139.14","-0.29","-0.04"
"YRD","Yirendai Ltd","0.22","34.48","101.91","--","5.02","4.7"
"YUME","YuMe Inc","--","-4.81","-7.51","0.02","14.8","1.37"
"YY","YY","0.64","18.58","43.1","54.86","9.77","3.71"
"ZBRA","Zebra Technologies Corp","1.41","-3.83","-15.17","334.34","20.69","6.29"
"ZEN","Zendesk, Inc.","--","-33.27","-34.3","0","10492.7","9.28"
"ZG","Zillow","1.1","-26.04","-8.15","14.5","273.39","2.77"
"ZNGA","ZYNGA","0.95","-14.59","-6.22","0","42.26","1.62"
